* #variable= 3318 #constraint= 6983
+8 ~x2044 +1 ~x2043 +1 ~x2042 +1 ~x2041 +1 ~x2024 +1 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 8;
+7 ~x2043 +1 ~x2042 +1 ~x2041 +1 ~x2024 +1 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 7;
+6 ~x2042 +1 ~x2041 +1 ~x2024 +1 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 6;
+5 ~x2041 +1 ~x2024 +1 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 5;
+19 ~x2040 +1 ~x2039 +1 ~x2038 +1 ~x2037 +1 ~x2036 +1 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 19;
+18 ~x2039 +1 ~x2038 +1 ~x2037 +1 ~x2036 +1 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 18;
+17 ~x2038 +1 ~x2037 +1 ~x2036 +1 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 17;
+16 ~x2037 +1 ~x2036 +1 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 16;
+15 ~x2036 +1 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 15;
+14 ~x2017 +1 ~x2016 +1 ~x2015 +1 ~x2014 +1 ~x2013 +1 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 14;
+13 ~x2016 +1 ~x2015 +1 ~x2014 +1 ~x2013 +1 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 13;
+12 ~x2015 +1 ~x2014 +1 ~x2013 +1 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 12;
+11 ~x2014 +1 ~x2013 +1 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 11;
+10 ~x2013 +1 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 10;
+4 ~x2030 +1 ~x2029 +1 ~x2002 +1 ~x1974 +1 ~x2091 >= 4;
+3 ~x2029 +1 ~x2002 +1 ~x1974 +1 ~x2091 >= 3;
+4 ~x2028 +1 ~x2027 +1 ~x2000 +1 ~x1973 +1 ~x2092 >= 4;
+3 ~x2027 +1 ~x2000 +1 ~x1973 +1 ~x2092 >= 3;
+4 ~x2026 +1 ~x2025 +1 ~x1999 +1 ~x1972 +1 ~x2093 >= 4;
+3 ~x2025 +1 ~x1999 +1 ~x1972 +1 ~x2093 >= 3;
+4 ~x2024 +1 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 4;
+3 ~x2023 +1 ~x1997 +1 ~x1971 +1 ~x2094 >= 3;
+14 ~x2022 +1 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 14;
+13 ~x2021 +1 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 13;
+12 ~x2020 +1 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 12;
+11 ~x2019 +1 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 11;
+10 ~x2018 +1 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 10;
+9 ~x2007 +1 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 9;
+8 ~x2006 +1 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 8;
+7 ~x2005 +1 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 7;
+6 ~x2004 +1 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 6;
+5 ~x2003 +1 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 5;
+9 ~x2001 +1 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 9;
+4 ~x1998 +1 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 4;
+8 ~x2012 +1 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 8;
+7 ~x2011 +1 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 7;
+6 ~x2010 +1 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 6;
+5 ~x2009 +1 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 5;
+4 ~x2008 +1 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 4;
+2 ~x2002 +1 ~x1974 +1 ~x2091 >= 2;
+2 ~x2000 +1 ~x1973 +1 ~x2092 >= 2;
+2 ~x1999 +1 ~x1972 +1 ~x2093 >= 2;
+2 ~x1997 +1 ~x1971 +1 ~x2094 >= 2;
+3 ~x1996 +1 ~x1995 +1 ~x1993 +1 ~x2081 >= 3;
+2 ~x1995 +1 ~x1993 +1 ~x2081 >= 2;
+3 ~x1994 +1 ~x1976 +1 ~x1975 +1 ~x2082 >= 3;
+1 ~x1993 +1 ~x2081 >= 1;
+5 ~x1992 +1 ~x1991 +1 ~x1990 +1 ~x1989 +1 ~x1988 +1 ~x2083 >= 5;
+4 ~x1991 +1 ~x1990 +1 ~x1989 +1 ~x1988 +1 ~x2083 >= 4;
+3 ~x1990 +1 ~x1989 +1 ~x1988 +1 ~x2083 >= 3;
+2 ~x1989 +1 ~x1988 +1 ~x2083 >= 2;
+1 ~x1988 +1 ~x2083 >= 1;
+5 ~x1987 +1 ~x1986 +1 ~x1985 +1 ~x1984 +1 ~x1983 +1 ~x2084 >= 5;
+4 ~x1986 +1 ~x1985 +1 ~x1984 +1 ~x1983 +1 ~x2084 >= 4;
+3 ~x1985 +1 ~x1984 +1 ~x1983 +1 ~x2084 >= 3;
+2 ~x1984 +1 ~x1983 +1 ~x2084 >= 2;
+1 ~x1983 +1 ~x2084 >= 1;
+1 ~x1982 +1 ~x2085 >= 1;
+1 ~x1981 +1 ~x2086 >= 1;
+1 ~x1980 +1 ~x2087 >= 1;
+1 ~x1979 +1 ~x2088 >= 1;
+1 ~x1978 +1 ~x2089 >= 1;
+1 ~x1977 +1 ~x2090 >= 1;
+2 ~x1976 +1 ~x1975 +1 ~x2082 >= 2;
+1 ~x1975 +1 ~x2082 >= 1;
+1 ~x1974 +1 ~x2091 >= 1;
+1 ~x1973 +1 ~x2092 >= 1;
+1 ~x1972 +1 ~x2093 >= 1;
+1 ~x1971 +1 ~x2094 >= 1;
+6 ~x2095 +1 ~x2548 +1 ~x2115 +1 ~x2120 +1 ~x2155 +1 ~x2403 +1 ~x2404 >= 6;
+6 ~x2096 +1 ~x2547 +1 ~x2116 +1 ~x2121 +1 ~x2156 +1 ~x2407 +1 ~x2408 >= 6;
+6 ~x2097 +1 ~x2546 +1 ~x2117 +1 ~x2122 +1 ~x2157 +1 ~x2411 +1 ~x2412 >= 6;
+6 ~x2098 +1 ~x2545 +1 ~x2118 +1 ~x2123 +1 ~x2158 +1 ~x2419 +1 ~x2420 >= 6;
+6 ~x2099 +1 ~x2544 +1 ~x2119 +1 ~x2124 +1 ~x2159 +1 ~x2423 +1 ~x2424 >= 6;
+6 ~x2100 +1 ~x2543 +1 ~x2125 +1 ~x2130 +1 ~x2165 +1 ~x2403 +1 ~x2404 >= 6;
+6 ~x2101 +1 ~x2542 +1 ~x2126 +1 ~x2131 +1 ~x2166 +1 ~x2407 +1 ~x2408 >= 6;
+6 ~x2102 +1 ~x2541 +1 ~x2127 +1 ~x2132 +1 ~x2167 +1 ~x2411 +1 ~x2412 >= 6;
+6 ~x2103 +1 ~x2540 +1 ~x2128 +1 ~x2133 +1 ~x2168 +1 ~x2415 +1 ~x2416 >= 6;
+6 ~x2104 +1 ~x2539 +1 ~x2129 +1 ~x2134 +1 ~x2169 +1 ~x2419 +1 ~x2420 >= 6;
+6 ~x2105 +1 ~x2538 +1 ~x2135 +1 ~x2140 +1 ~x2170 +1 ~x2403 +1 ~x2404 >= 6;
+6 ~x2106 +1 ~x2537 +1 ~x2136 +1 ~x2141 +1 ~x2171 +1 ~x2407 +1 ~x2408 >= 6;
+6 ~x2107 +1 ~x2536 +1 ~x2137 +1 ~x2142 +1 ~x2172 +1 ~x2411 +1 ~x2412 >= 6;
+6 ~x2108 +1 ~x2535 +1 ~x2138 +1 ~x2143 +1 ~x2173 +1 ~x2415 +1 ~x2416 >= 6;
+6 ~x2109 +1 ~x2534 +1 ~x2139 +1 ~x2144 +1 ~x2174 +1 ~x2419 +1 ~x2420 >= 6;
+6 ~x2110 +1 ~x2533 +1 ~x2145 +1 ~x2150 +1 ~x2180 +1 ~x2403 +1 ~x2404 >= 6;
+6 ~x2111 +1 ~x2532 +1 ~x2146 +1 ~x2151 +1 ~x2181 +1 ~x2407 +1 ~x2408 >= 6;
+6 ~x2112 +1 ~x2531 +1 ~x2147 +1 ~x2152 +1 ~x2182 +1 ~x2411 +1 ~x2412 >= 6;
+6 ~x2113 +1 ~x2530 +1 ~x2148 +1 ~x2153 +1 ~x2183 +1 ~x2415 +1 ~x2416 >= 6;
+6 ~x2114 +1 ~x2529 +1 ~x2149 +1 ~x2154 +1 ~x2184 +1 ~x2423 +1 ~x2424 >= 6;
+5 ~x2175 +1 ~x2503 +1 ~x2243 +1 ~x2244 +1 ~x2405 +1 ~x2406 >= 5;
+5 ~x2176 +1 ~x2502 +1 ~x2245 +1 ~x2246 +1 ~x2409 +1 ~x2410 >= 5;
+5 ~x2177 +1 ~x2501 +1 ~x2247 +1 ~x2248 +1 ~x2413 +1 ~x2414 >= 5;
+5 ~x2178 +1 ~x2500 +1 ~x2249 +1 ~x2250 +1 ~x2417 +1 ~x2418 >= 5;
+5 ~x2179 +1 ~x2499 +1 ~x2251 +1 ~x2252 +1 ~x2421 +1 ~x2422 >= 5;
+16 ~x2115 +1 ~x2120 +1 ~x2155 +1 ~x2528 +1 ~x2185 +1 ~x2186 +1 ~x2187 +1 ~x2189 +1 ~x2190 +1 ~x2191 +1 ~x2188 +1 ~x2367 +1 ~x2368 +1 ~x2369 +1 ~x2370 +1 ~x2371 +1 ~x2372 >= 16;
+16 ~x2116 +1 ~x2121 +1 ~x2156 +1 ~x2527 +1 ~x2185 +1 ~x2186 +1 ~x2187 +1 ~x2189 +1 ~x2190 +1 ~x2192 +1 ~x2188 +1 ~x2373 +1 ~x2374 +1 ~x2375 +1 ~x2376 +1 ~x2377 +1 ~x2378 >= 16;
+16 ~x2117 +1 ~x2122 +1 ~x2157 +1 ~x2526 +1 ~x2185 +1 ~x2186 +1 ~x2187 +1 ~x2189 +1 ~x2190 +1 ~x2193 +1 ~x2188 +1 ~x2379 +1 ~x2380 +1 ~x2381 +1 ~x2382 +1 ~x2383 +1 ~x2384 >= 16;
+16 ~x2118 +1 ~x2123 +1 ~x2158 +1 ~x2525 +1 ~x2185 +1 ~x2186 +1 ~x2187 +1 ~x2189 +1 ~x2190 +1 ~x2195 +1 ~x2188 +1 ~x2303 +1 ~x2304 +1 ~x2305 +1 ~x2306 +1 ~x2307 +1 ~x2308 >= 16;
+16 ~x2119 +1 ~x2124 +1 ~x2159 +1 ~x2524 +1 ~x2185 +1 ~x2186 +1 ~x2187 +1 ~x2189 +1 ~x2190 +1 ~x2196 +1 ~x2188 +1 ~x2309 +1 ~x2310 +1 ~x2311 +1 ~x2312 +1 ~x2313 +1 ~x2314 >= 16;
+15 ~x2120 +1 ~x2155 +1 ~x2528 +1 ~x2185 +1 ~x2191 +1 ~x2192 +1 ~x2193 +1 ~x2195 +1 ~x2196 +1 ~x2194 +1 ~x2385 +1 ~x2386 +1 ~x2387 +1 ~x2388 +1 ~x2389 +1 ~x2390 >= 15;
+15 ~x2121 +1 ~x2156 +1 ~x2527 +1 ~x2186 +1 ~x2191 +1 ~x2192 +1 ~x2193 +1 ~x2195 +1 ~x2196 +1 ~x2194 +1 ~x2391 +1 ~x2392 +1 ~x2393 +1 ~x2394 +1 ~x2395 +1 ~x2396 >= 15;
+15 ~x2122 +1 ~x2157 +1 ~x2526 +1 ~x2187 +1 ~x2191 +1 ~x2192 +1 ~x2193 +1 ~x2195 +1 ~x2196 +1 ~x2194 +1 ~x2397 +1 ~x2398 +1 ~x2399 +1 ~x2400 +1 ~x2401 +1 ~x2402 >= 15;
+15 ~x2123 +1 ~x2158 +1 ~x2525 +1 ~x2189 +1 ~x2191 +1 ~x2192 +1 ~x2193 +1 ~x2195 +1 ~x2196 +1 ~x2194 +1 ~x2321 +1 ~x2322 +1 ~x2323 +1 ~x2324 +1 ~x2325 +1 ~x2326 >= 15;
+15 ~x2124 +1 ~x2159 +1 ~x2524 +1 ~x2190 +1 ~x2191 +1 ~x2192 +1 ~x2193 +1 ~x2195 +1 ~x2196 +1 ~x2194 +1 ~x2327 +1 ~x2328 +1 ~x2329 +1 ~x2330 +1 ~x2331 +1 ~x2332 >= 15;
+16 ~x2125 +1 ~x2130 +1 ~x2165 +1 ~x2523 +1 ~x2197 +1 ~x2198 +1 ~x2199 +1 ~x2200 +1 ~x2201 +1 ~x2203 +1 ~x2202 +1 ~x2367 +1 ~x2368 +1 ~x2369 +1 ~x2370 +1 ~x2371 +1 ~x2372 >= 16;
+16 ~x2126 +1 ~x2131 +1 ~x2166 +1 ~x2522 +1 ~x2197 +1 ~x2198 +1 ~x2199 +1 ~x2200 +1 ~x2201 +1 ~x2204 +1 ~x2202 +1 ~x2373 +1 ~x2374 +1 ~x2375 +1 ~x2376 +1 ~x2377 +1 ~x2378 >= 16;
+16 ~x2127 +1 ~x2132 +1 ~x2167 +1 ~x2521 +1 ~x2197 +1 ~x2198 +1 ~x2199 +1 ~x2200 +1 ~x2201 +1 ~x2205 +1 ~x2202 +1 ~x2379 +1 ~x2380 +1 ~x2381 +1 ~x2382 +1 ~x2383 +1 ~x2384 >= 16;
+16 ~x2128 +1 ~x2133 +1 ~x2168 +1 ~x2520 +1 ~x2197 +1 ~x2198 +1 ~x2199 +1 ~x2200 +1 ~x2201 +1 ~x2206 +1 ~x2202 +1 ~x2297 +1 ~x2298 +1 ~x2299 +1 ~x2300 +1 ~x2301 +1 ~x2302 >= 16;
+16 ~x2129 +1 ~x2134 +1 ~x2169 +1 ~x2519 +1 ~x2197 +1 ~x2198 +1 ~x2199 +1 ~x2200 +1 ~x2201 +1 ~x2207 +1 ~x2202 +1 ~x2303 +1 ~x2304 +1 ~x2305 +1 ~x2306 +1 ~x2307 +1 ~x2308 >= 16;
+15 ~x2130 +1 ~x2165 +1 ~x2523 +1 ~x2197 +1 ~x2203 +1 ~x2204 +1 ~x2205 +1 ~x2206 +1 ~x2207 +1 ~x2208 +1 ~x2385 +1 ~x2386 +1 ~x2387 +1 ~x2388 +1 ~x2389 +1 ~x2390 >= 15;
+15 ~x2131 +1 ~x2166 +1 ~x2522 +1 ~x2198 +1 ~x2203 +1 ~x2204 +1 ~x2205 +1 ~x2206 +1 ~x2207 +1 ~x2208 +1 ~x2391 +1 ~x2392 +1 ~x2393 +1 ~x2394 +1 ~x2395 +1 ~x2396 >= 15;
+15 ~x2132 +1 ~x2167 +1 ~x2521 +1 ~x2199 +1 ~x2203 +1 ~x2204 +1 ~x2205 +1 ~x2206 +1 ~x2207 +1 ~x2208 +1 ~x2397 +1 ~x2398 +1 ~x2399 +1 ~x2400 +1 ~x2401 +1 ~x2402 >= 15;
+15 ~x2133 +1 ~x2168 +1 ~x2520 +1 ~x2200 +1 ~x2203 +1 ~x2204 +1 ~x2205 +1 ~x2206 +1 ~x2207 +1 ~x2208 +1 ~x2315 +1 ~x2316 +1 ~x2317 +1 ~x2318 +1 ~x2319 +1 ~x2320 >= 15;
+15 ~x2134 +1 ~x2169 +1 ~x2519 +1 ~x2201 +1 ~x2203 +1 ~x2204 +1 ~x2205 +1 ~x2206 +1 ~x2207 +1 ~x2208 +1 ~x2321 +1 ~x2322 +1 ~x2323 +1 ~x2324 +1 ~x2325 +1 ~x2326 >= 15;
+16 ~x2135 +1 ~x2140 +1 ~x2170 +1 ~x2518 +1 ~x2209 +1 ~x2210 +1 ~x2211 +1 ~x2212 +1 ~x2213 +1 ~x2215 +1 ~x2214 +1 ~x2367 +1 ~x2368 +1 ~x2369 +1 ~x2370 +1 ~x2371 +1 ~x2372 >= 16;
+16 ~x2136 +1 ~x2141 +1 ~x2171 +1 ~x2517 +1 ~x2209 +1 ~x2210 +1 ~x2211 +1 ~x2212 +1 ~x2213 +1 ~x2216 +1 ~x2214 +1 ~x2373 +1 ~x2374 +1 ~x2375 +1 ~x2376 +1 ~x2377 +1 ~x2378 >= 16;
+16 ~x2137 +1 ~x2142 +1 ~x2172 +1 ~x2516 +1 ~x2209 +1 ~x2210 +1 ~x2211 +1 ~x2212 +1 ~x2213 +1 ~x2217 +1 ~x2214 +1 ~x2379 +1 ~x2380 +1 ~x2381 +1 ~x2382 +1 ~x2383 +1 ~x2384 >= 16;
+16 ~x2138 +1 ~x2143 +1 ~x2173 +1 ~x2515 +1 ~x2209 +1 ~x2210 +1 ~x2211 +1 ~x2212 +1 ~x2213 +1 ~x2218 +1 ~x2214 +1 ~x2297 +1 ~x2298 +1 ~x2299 +1 ~x2300 +1 ~x2301 +1 ~x2302 >= 16;
+16 ~x2139 +1 ~x2144 +1 ~x2174 +1 ~x2514 +1 ~x2209 +1 ~x2210 +1 ~x2211 +1 ~x2212 +1 ~x2213 +1 ~x2219 +1 ~x2214 +1 ~x2303 +1 ~x2304 +1 ~x2305 +1 ~x2306 +1 ~x2307 +1 ~x2308 >= 16;
+15 ~x2140 +1 ~x2170 +1 ~x2518 +1 ~x2209 +1 ~x2215 +1 ~x2216 +1 ~x2217 +1 ~x2218 +1 ~x2219 +1 ~x2220 +1 ~x2385 +1 ~x2386 +1 ~x2387 +1 ~x2388 +1 ~x2389 +1 ~x2390 >= 15;
+15 ~x2141 +1 ~x2171 +1 ~x2517 +1 ~x2210 +1 ~x2215 +1 ~x2216 +1 ~x2217 +1 ~x2218 +1 ~x2219 +1 ~x2220 +1 ~x2391 +1 ~x2392 +1 ~x2393 +1 ~x2394 +1 ~x2395 +1 ~x2396 >= 15;
+15 ~x2142 +1 ~x2172 +1 ~x2516 +1 ~x2211 +1 ~x2215 +1 ~x2216 +1 ~x2217 +1 ~x2218 +1 ~x2219 +1 ~x2220 +1 ~x2397 +1 ~x2398 +1 ~x2399 +1 ~x2400 +1 ~x2401 +1 ~x2402 >= 15;
+15 ~x2143 +1 ~x2173 +1 ~x2515 +1 ~x2212 +1 ~x2215 +1 ~x2216 +1 ~x2217 +1 ~x2218 +1 ~x2219 +1 ~x2220 +1 ~x2315 +1 ~x2316 +1 ~x2317 +1 ~x2318 +1 ~x2319 +1 ~x2320 >= 15;
+15 ~x2144 +1 ~x2174 +1 ~x2514 +1 ~x2213 +1 ~x2215 +1 ~x2216 +1 ~x2217 +1 ~x2218 +1 ~x2219 +1 ~x2220 +1 ~x2321 +1 ~x2322 +1 ~x2323 +1 ~x2324 +1 ~x2325 +1 ~x2326 >= 15;
+16 ~x2145 +1 ~x2150 +1 ~x2180 +1 ~x2513 +1 ~x2221 +1 ~x2222 +1 ~x2223 +1 ~x2224 +1 ~x2226 +1 ~x2227 +1 ~x2225 +1 ~x2367 +1 ~x2368 +1 ~x2369 +1 ~x2370 +1 ~x2371 +1 ~x2372 >= 16;
+16 ~x2146 +1 ~x2151 +1 ~x2181 +1 ~x2512 +1 ~x2221 +1 ~x2222 +1 ~x2223 +1 ~x2224 +1 ~x2226 +1 ~x2228 +1 ~x2225 +1 ~x2373 +1 ~x2374 +1 ~x2375 +1 ~x2376 +1 ~x2377 +1 ~x2378 >= 16;
+16 ~x2147 +1 ~x2152 +1 ~x2182 +1 ~x2511 +1 ~x2221 +1 ~x2222 +1 ~x2223 +1 ~x2224 +1 ~x2226 +1 ~x2229 +1 ~x2225 +1 ~x2379 +1 ~x2380 +1 ~x2381 +1 ~x2382 +1 ~x2383 +1 ~x2384 >= 16;
+16 ~x2148 +1 ~x2153 +1 ~x2183 +1 ~x2510 +1 ~x2221 +1 ~x2222 +1 ~x2223 +1 ~x2224 +1 ~x2226 +1 ~x2230 +1 ~x2225 +1 ~x2297 +1 ~x2298 +1 ~x2299 +1 ~x2300 +1 ~x2301 +1 ~x2302 >= 16;
+16 ~x2149 +1 ~x2154 +1 ~x2184 +1 ~x2509 +1 ~x2221 +1 ~x2222 +1 ~x2223 +1 ~x2224 +1 ~x2226 +1 ~x2232 +1 ~x2225 +1 ~x2309 +1 ~x2310 +1 ~x2311 +1 ~x2312 +1 ~x2313 +1 ~x2314 >= 16;
+15 ~x2150 +1 ~x2180 +1 ~x2513 +1 ~x2221 +1 ~x2227 +1 ~x2228 +1 ~x2229 +1 ~x2230 +1 ~x2232 +1 ~x2231 +1 ~x2385 +1 ~x2386 +1 ~x2387 +1 ~x2388 +1 ~x2389 +1 ~x2390 >= 15;
+15 ~x2151 +1 ~x2181 +1 ~x2512 +1 ~x2222 +1 ~x2227 +1 ~x2228 +1 ~x2229 +1 ~x2230 +1 ~x2232 +1 ~x2231 +1 ~x2391 +1 ~x2392 +1 ~x2393 +1 ~x2394 +1 ~x2395 +1 ~x2396 >= 15;
+15 ~x2152 +1 ~x2182 +1 ~x2511 +1 ~x2223 +1 ~x2227 +1 ~x2228 +1 ~x2229 +1 ~x2230 +1 ~x2232 +1 ~x2231 +1 ~x2397 +1 ~x2398 +1 ~x2399 +1 ~x2400 +1 ~x2401 +1 ~x2402 >= 15;
+15 ~x2153 +1 ~x2183 +1 ~x2510 +1 ~x2224 +1 ~x2227 +1 ~x2228 +1 ~x2229 +1 ~x2230 +1 ~x2232 +1 ~x2231 +1 ~x2315 +1 ~x2316 +1 ~x2317 +1 ~x2318 +1 ~x2319 +1 ~x2320 >= 15;
+15 ~x2154 +1 ~x2184 +1 ~x2509 +1 ~x2226 +1 ~x2227 +1 ~x2228 +1 ~x2229 +1 ~x2230 +1 ~x2232 +1 ~x2231 +1 ~x2327 +1 ~x2328 +1 ~x2329 +1 ~x2330 +1 ~x2331 +1 ~x2332 >= 15;
+5 ~x2155 +1 ~x2528 +1 ~x2185 +1 ~x2191 +1 ~x2403 +1 ~x2404 >= 5;
+5 ~x2156 +1 ~x2527 +1 ~x2186 +1 ~x2192 +1 ~x2407 +1 ~x2408 >= 5;
+5 ~x2157 +1 ~x2526 +1 ~x2187 +1 ~x2193 +1 ~x2411 +1 ~x2412 >= 5;
+5 ~x2158 +1 ~x2525 +1 ~x2189 +1 ~x2195 +1 ~x2419 +1 ~x2420 >= 5;
+5 ~x2159 +1 ~x2524 +1 ~x2190 +1 ~x2196 +1 ~x2423 +1 ~x2424 >= 5;
+5 ~x2160 +1 ~x2508 +1 ~x2233 +1 ~x2234 +1 ~x2405 +1 ~x2406 >= 5;
+5 ~x2161 +1 ~x2507 +1 ~x2235 +1 ~x2236 +1 ~x2409 +1 ~x2410 >= 5;
+5 ~x2162 +1 ~x2506 +1 ~x2237 +1 ~x2238 +1 ~x2417 +1 ~x2418 >= 5;
+5 ~x2163 +1 ~x2505 +1 ~x2239 +1 ~x2240 +1 ~x2421 +1 ~x2422 >= 5;
+5 ~x2164 +1 ~x2504 +1 ~x2241 +1 ~x2242 +1 ~x2425 +1 ~x2426 >= 5;
+5 ~x2165 +1 ~x2523 +1 ~x2197 +1 ~x2203 +1 ~x2403 +1 ~x2404 >= 5;
+5 ~x2166 +1 ~x2522 +1 ~x2198 +1 ~x2204 +1 ~x2407 +1 ~x2408 >= 5;
+5 ~x2167 +1 ~x2521 +1 ~x2199 +1 ~x2205 +1 ~x2411 +1 ~x2412 >= 5;
+5 ~x2168 +1 ~x2520 +1 ~x2200 +1 ~x2206 +1 ~x2415 +1 ~x2416 >= 5;
+5 ~x2169 +1 ~x2519 +1 ~x2201 +1 ~x2207 +1 ~x2419 +1 ~x2420 >= 5;
+5 ~x2170 +1 ~x2518 +1 ~x2209 +1 ~x2215 +1 ~x2403 +1 ~x2404 >= 5;
+5 ~x2171 +1 ~x2517 +1 ~x2210 +1 ~x2216 +1 ~x2407 +1 ~x2408 >= 5;
+5 ~x2172 +1 ~x2516 +1 ~x2211 +1 ~x2217 +1 ~x2411 +1 ~x2412 >= 5;
+5 ~x2173 +1 ~x2515 +1 ~x2212 +1 ~x2218 +1 ~x2415 +1 ~x2416 >= 5;
+5 ~x2174 +1 ~x2514 +1 ~x2213 +1 ~x2219 +1 ~x2419 +1 ~x2420 >= 5;
+5 ~x2180 +1 ~x2513 +1 ~x2221 +1 ~x2227 +1 ~x2403 +1 ~x2404 >= 5;
+5 ~x2181 +1 ~x2512 +1 ~x2222 +1 ~x2228 +1 ~x2407 +1 ~x2408 >= 5;
+5 ~x2182 +1 ~x2511 +1 ~x2223 +1 ~x2229 +1 ~x2411 +1 ~x2412 >= 5;
+5 ~x2183 +1 ~x2510 +1 ~x2224 +1 ~x2230 +1 ~x2415 +1 ~x2416 >= 5;
+5 ~x2184 +1 ~x2509 +1 ~x2226 +1 ~x2232 +1 ~x2423 +1 ~x2424 >= 5;
